Transaction Amount,Transaction Country,Transaction Currency,Transaction Time,Transaction Day,Card Issuer,Card Type,Online Purchase,First Purchase,Customer Age,Account Age,Fraudulent
5176,AU,USD,1,Weekend,MasterCard,Credit,1,1,37,2,1
8689,Other,AUD,0,Weekend,Amex,Credit,1,1,39,0,1
9101,Other,GBP,1,Weekend,Visa,Debit,1,1,50,7,1
3705,CA,GBP,8,Weekday,MasterCard,Debit,0,0,47,1,0
2533,US,GBP,12,Weekday,Discover,Debit,0,0,62,4,0
3955,CA,AUD,9,Weekend,MasterCard,Debit,0,0,33,9,0
4968,Other,USD,10,Weekday,MasterCard,Credit,1,0,69,5,0
8977,Other,AUD,1,Weekend,Amex,Credit,1,1,67,10,1
1096,AU,GBP,14,Weekend,MasterCard,Debit,1,0,43,1,0
9873,Other,AUD,0,Weekend,Amex,Credit,1,1,20,0,1
2007,US,USD,19,Weekday,Amex,Debit,1,0,54,7,0
3050,AU,USD,13,Weekend,Amex,Credit,1,0,50,4,0
5942,CA,GBP,23,Weekend,Discover,Credit,1,1,23,2,1
8444,US,CAD,1,Weekend,Visa,Credit,1,1,19,2,1
4104,UK,USD,17,Weekend,Visa,Credit,1,0,52,3,0
1480,Other,CAD,18,Weekend,Visa,Debit,0,0,26,0,0
8788,US,USD,23,Weekend,Visa,Credit,1,1,60,1,1
2281,Other,USD,16,Weekday,Visa,Debit,0,0,29,1,0
1474,US,AUD,11,Weekday,Discover,Credit,1,0,28,7,0
7679,US,CAD,23,Weekday,Amex,Credit,1,1,19,12,1
7835,AU,AUD,0,Weekday,Amex,Credit,1,1,54,3,1
3272,Other,GBP,10,Weekend,MasterCard,Credit,0,0,53,4,0
9549,AU,AUD,0,Weekend,MasterCard,Credit,1,1,54,2,1
2689,Other,CAD,12,Weekday,Amex,Credit,1,0,62,11,0
8945,AU,GBP,23,Weekday,Discover,Debit,1,1,27,9,1
5482,UK,GBP,23,Weekend,Amex,Credit,1,1,25,9,1
8016,US,CAD,0,Weekday,Amex,Debit,1,1,31,7,1
486,CA,USD,18,Weekday,Discover,Debit,0,0,37,8,0
8438,AU,GBP,23,Weekday,Amex,Credit,1,1,45,10,1
2825,UK,AUD,8,Weekday,Visa,Debit,1,0,53,6,0
1986,CA,GBP,8,Weekend,Amex,Debit,1,0,61,6,0
8848,CA,GBP,0,Weekend,Amex,Credit,0,1,51,4,1
6371,Other,CAD,0,Weekend,MasterCard,Debit,1,1,24,0,1
7893,Other,USD,23,Weekday,Amex,Credit,1,1,37,2,1
9756,CA,GBP,0,Weekday,Amex,Credit,1,1,38,4,1
1785,CA,USD,8,Weekend,MasterCard,Credit,1,0,40,7,0
9740,Other,AUD,1,Weekend,Discover,Credit,0,1,33,6,1
750,US,USD,16,Weekend,Visa,Debit,1,0,33,2,0
8365,Other,CAD,1,Weekend,Discover,Credit,1,1,43,7,1
6129,Other,AUD,0,Weekday,Amex,Debit,1,1,62,7,1
4142,UK,USD,16,Weekend,MasterCard,Debit,1,0,37,5,0
929,AU,GBP,8,Weekday,Amex,Credit,0,0,24,8,0
3953,UK,USD,8,Weekend,Visa,Debit,1,0,50,7,0
8785,Other,GBP,0,Weekend,Visa,Credit,0,1,66,2,1
2930,UK,CAD,16,Weekday,Visa,Credit,1,0,64,2,0
7402,Other,AUD,0,Weekday,MasterCard,Debit,1,1,27,6,1
1672,US,AUD,13,Weekend,MasterCard,Credit,0,0,26,12,0
8251,US,AUD,1,Weekday,Amex,Credit,1,1,37,9,1
1146,US,CAD,15,Weekday,MasterCard,Credit,1,0,21,3,0
1592,US,GBP,10,Weekday,Visa,Debit,0,0,39,9,0
8710,Other,AUD,0,Weekend,MasterCard,Credit,1,1,59,9,1
1371,CA,USD,14,Weekday,Visa,Debit,0,0,51,0,0
1568,Other,CAD,14,Weekday,MasterCard,Credit,0,0,48,11,0
3398,US,USD,16,Weekend,Amex,Debit,1,0,47,4,0
6762,Other,USD,23,Weekend,MasterCard,Credit,1,1,18,7,1
6846,Other,AUD,23,Weekend,Amex,Credit,1,1,41,9,1
9226,AU,USD,23,Weekend,Amex,Credit,1,1,70,0,1
3495,AU,CAD,10,Weekday,Visa,Debit,0,0,62,5,0
3693,Other,GBP,13,Weekend,Amex,Debit,1,0,26,9,0
6148,UK,CAD,1,Weekday,Amex,Credit,1,1,43,4,1
909,AU,CAD,8,Weekend,MasterCard,Credit,1,0,46,0,0
3255,AU,AUD,19,Weekend,Discover,Debit,1,0,18,1,0
3808,UK,CAD,9,Weekend,MasterCard,Credit,0,0,56,11,0
3917,UK,USD,10,Weekend,Discover,Debit,1,0,43,8,0
8208,US,AUD,0,Weekend,MasterCard,Credit,1,1,30,0,1
2198,Other,AUD,10,Weekend,MasterCard,Credit,1,0,70,3,0
7970,Other,CAD,23,Weekday,Visa,Credit,1,1,61,2,1
8839,Other,AUD,0,Weekday,Discover,Credit,1,1,59,11,1
8335,UK,CAD,0,Weekend,Visa,Debit,1,1,58,10,1
3299,US,GBP,15,Weekday,Amex,Debit,0,0,52,0,0
9211,Other,AUD,23,Weekend,Visa,Debit,1,1,46,7,1
8196,Other,GBP,1,Weekend,Discover,Credit,1,1,51,5,1
9169,Other,GBP,0,Weekend,Discover,Credit,1,1,56,6,1
2799,UK,CAD,11,Weekend,MasterCard,Credit,1,0,52,9,0
4532,US,AUD,16,Weekend,Visa,Debit,1,0,50,3,0
3091,Other,USD,10,Weekday,Amex,Debit,1,0,26,4,0
6862,AU,GBP,1,Weekday,MasterCard,Credit,1,1,21,4,1
7440,UK,USD,1,Weekend,Discover,Debit,1,1,68,7,1
4379,Other,CAD,11,Weekday,MasterCard,Debit,0,0,24,4,0
3122,CA,AUD,11,Weekday,Visa,Credit,1,0,28,7,0
3935,AU,USD,18,Weekday,Amex,Debit,0,0,35,7,0
5166,Other,CAD,1,Weekend,MasterCard,Credit,0,1,62,8,1
8026,Other,GBP,0,Weekend,Amex,Credit,1,1,68,11,1
8023,Other,GBP,0,Weekend,Visa,Debit,1,1,57,10,1
623,US,AUD,8,Weekday,Amex,Credit,0,0,31,0,0
6688,Other,CAD,23,Weekday,MasterCard,Credit,1,1,42,10,1
2396,Other,GBP,15,Weekend,MasterCard,Credit,0,0,61,0,0
507,US,CAD,19,Weekend,Visa,Credit,1,0,56,9,0
6226,AU,GBP,1,Weekday,Discover,Credit,1,1,67,7,1
4955,Other,GBP,17,Weekend,MasterCard,Debit,0,0,65,1,0
9064,AU,USD,0,Weekend,Amex,Credit,1,1,30,8,1
4684,Other,AUD,18,Weekend,MasterCard,Credit,1,0,58,1,0
694,US,GBP,16,Weekend,Amex,Credit,0,0,19,12,0
7995,Other,CAD,1,Weekday,Amex,Credit,1,1,33,0,1
1150,CA,CAD,8,Weekday,Amex,Debit,1,0,53,11,0
6492,Other,AUD,1,Weekend,MasterCard,Credit,0,1,24,0,1
7230,Other,AUD,23,Weekday,Visa,Credit,1,1,45,11,1
864,AU,AUD,12,Weekend,MasterCard,Debit,1,0,46,2,0
5470,Other,USD,23,Weekend,MasterCard,Debit,1,1,66,11,1
6936,UK,USD,1,Weekday,MasterCard,Credit,1,1,22,6,1
7312,Other,AUD,1,Weekend,MasterCard,Credit,0,1,24,0,1
1351,UK,AUD,11,Weekend,Amex,Credit,1,0,46,7,0
6012,Other,AUD,0,Weekend,MasterCard,Credit,0,1,24,0,1
8434,Other,CAD,1,Weekend,Visa,Debit,1,1,66,2,1
9759,Other,GBP,23,Weekend,Amex,Credit,1,1,68,11,1
7798,UK,GBP,1,Weekday,Discover,Credit,1,1,37,5,1
9403,US,USD,0,Weekend,Amex,Credit,0,1,35,11,1
4979,UK,USD,16,Weekend,Discover,Debit,1,0,28,8,0
1171,US,GBP,11,Weekday,Visa,Credit,0,0,58,10,0
5886,US,CAD,1,Weekend,Visa,Credit,1,1,67,7,1
8534,US,CAD,23,Weekend,Visa,Credit,1,1,34,7,1
4387,CA,AUD,15,Weekday,Amex,Credit,0,0,31,2,0
5195,Other,GBP,1,Weekend,Visa,Debit,0,1,38,2,1
209,AU,AUD,9,Weekday,MasterCard,Credit,1,0,35,5,0
7408,Other,GBP,0,Weekend,Amex,Debit,1,1,37,1,1
2840,US,AUD,16,Weekday,Visa,Debit,1,0,67,4,0
8291,UK,USD,0,Weekday,Discover,Credit,1,1,69,2,1
7719,AU,AUD,1,Weekend,MasterCard,Debit,1,1,21,7,1
820,AU,USD,12,Weekday,Discover,Debit,0,0,41,5,0
3219,CA,GBP,17,Weekend,MasterCard,Credit,0,0,69,11,0
4137,UK,CAD,9,Weekday,Discover,Credit,1,0,66,7,0
4537,UK,GBP,10,Weekday,Discover,Debit,1,0,30,10,0
3357,UK,GBP,11,Weekday,Visa,Debit,1,0,20,6,0
4407,AU,GBP,12,Weekend,Visa,Credit,0,0,29,9,0
3461,UK,AUD,17,Weekday,MasterCard,Debit,0,0,39,2,0
2780,UK,USD,18,Weekend,MasterCard,Credit,1,0,35,12,0
6043,AU,AUD,0,Weekend,Visa,Credit,1,1,34,9,1
2366,AU,USD,14,Weekday,Visa,Debit,1,0,69,1,0
4890,US,CAD,12,Weekend,Visa,Credit,0,0,24,9,0
168,UK,AUD,8,Weekend,Amex,Credit,1,0,50,11,0
9653,AU,CAD,1,Weekday,Amex,Credit,1,1,65,11,1
1424,US,USD,18,Weekend,Discover,Credit,0,0,63,12,0
8898,AU,AUD,23,Weekday,Amex,Credit,1,1,54,3,1
3576,AU,GBP,17,Weekday,Discover,Credit,1,0,26,1,0
2093,UK,AUD,11,Weekend,Amex,Debit,0,0,49,5,0
6818,UK,USD,1,Weekend,Amex,Debit,1,1,59,9,1
3975,US,GBP,11,Weekend,Discover,Debit,1,0,64,3,0
8403,CA,USD,0,Weekday,Discover,Credit,1,1,59,3,1
8409,UK,USD,1,Weekday,Visa,Debit,1,1,23,12,1
1239,AU,CAD,9,Weekday,Discover,Credit,0,0,69,8,0
2734,UK,CAD,8,Weekday,MasterCard,Credit,1,0,25,5,0
9352,Other,USD,1,Weekend,Discover,Credit,0,1,30,3,1
2427,US,CAD,16,Weekend,Discover,Credit,1,0,67,6,0
7257,Other,AUD,0,Weekend,Discover,Credit,0,1,24,10,1
7930,CA,CAD,1,Weekend,Discover,Debit,1,1,51,4,1
2478,CA,USD,13,Weekend,MasterCard,Credit,1,0,34,10,0
889,US,CAD,10,Weekday,Visa,Debit,1,0,18,1,0
1529,CA,GBP,8,Weekend,Visa,Debit,0,0,68,8,0
6449,US,USD,0,Weekend,Discover,Credit,1,1,43,11,1
5559,Other,AUD,0,Weekend,Amex,Credit,1,1,67,2,1
7588,Other,AUD,23,Weekday,Amex,Credit,1,1,44,5,1
5156,US,USD,1,Weekend,Visa,Credit,1,1,60,1,1
7884,Other,GBP,1,Weekday,Visa,Debit,0,1,47,6,1
221,US,CAD,8,Weekday,MasterCard,Credit,1,0,59,0,0
9676,Other,USD,1,Weekend,Amex,Debit,1,1,67,6,1
5935,US,AUD,0,Weekend,MasterCard,Credit,1,1,30,0,1
7725,Other,AUD,1,Weekday,MasterCard,Credit,0,1,52,2,1
1704,UK,USD,8,Weekend,Visa,Credit,1,0,62,5,0
9366,AU,AUD,0,Weekday,Discover,Credit,1,1,26,9,1
3127,AU,USD,14,Weekend,Discover,Debit,1,0,48,12,0
3452,AU,USD,9,Weekday,Amex,Credit,0,0,55,10,0
9349,CA,AUD,23,Weekend,Amex,Credit,1,1,18,4,1
2640,Other,CAD,10,Weekday,Amex,Debit,1,0,43,7,0
8411,AU,USD,0,Weekend,Discover,Credit,1,1,42,11,1
3535,AU,AUD,10,Weekend,Visa,Credit,0,0,44,8,0
9211,Other,CAD,23,Weekend,Visa,Debit,1,1,66,2,1
5916,CA,AUD,0,Weekend,Amex,Credit,1,1,35,6,1
6148,CA,USD,1,Weekend,Amex,Credit,1,1,63,8,1
4594,CA,AUD,19,Weekday,Discover,Debit,0,0,28,2,0
294,CA,AUD,14,Weekday,MasterCard,Debit,1,0,21,5,0
9348,Other,USD,0,Weekday,MasterCard,Credit,1,1,45,3,1
7242,UK,GBP,23,Weekend,Amex,Debit,1,1,67,3,1
4123,Other,CAD,11,Weekend,Discover,Credit,0,0,37,9,0
2283,UK,CAD,15,Weekend,MasterCard,Debit,0,0,23,1,0
9955,Other,USD,23,Weekday,Discover,Credit,1,1,19,3,1
6346,AU,GBP,23,Weekend,Amex,Debit,1,1,31,2,1
5550,AU,USD,1,Weekday,Amex,Credit,1,1,63,7,1
7070,US,GBP,1,Weekday,Visa,Credit,1,1,47,11,1
4053,UK,GBP,17,Weekend,MasterCard,Debit,1,0,53,4,0
362,AU,CAD,18,Weekday,Visa,Debit,0,0,25,4,0
1687,CA,AUD,18,Weekday,Amex,Credit,1,0,35,1,0
7579,Other,CAD,0,Weekday,Visa,Debit,0,1,68,0,1
3303,CA,USD,13,Weekend,Amex,Credit,0,0,48,7,0
230,UK,CAD,15,Weekday,MasterCard,Debit,1,0,39,6,0
7259,UK,CAD,1,Weekend,MasterCard,Credit,1,1,51,7,1
3196,US,CAD,16,Weekday,Visa,Debit,0,0,51,0,0
148,CA,USD,19,Weekday,Discover,Debit,1,0,52,3,0
1116,US,GBP,18,Weekend,Visa,Debit,1,0,51,1,0
5636,AU,USD,23,Weekend,MasterCard,Credit,1,1,37,2,1
3612,Other,GBP,17,Weekday,MasterCard,Debit,0,0,38,10,0
4183,US,AUD,18,Weekend,Visa,Debit,1,0,23,2,0
2980,US,GBP,9,Weekend,Visa,Debit,1,0,35,11,0
4647,US,GBP,13,Weekend,MasterCard,Debit,0,0,52,6,0
6959,CA,AUD,23,Weekend,Discover,Credit,1,1,48,9,1
5780,Other,USD,23,Weekday,Discover,Credit,1,1,45,0,1
5258,UK,GBP,1,Weekend,Amex,Debit,1,1,64,7,1
9516,Other,USD,1,Weekend,Discover,Debit,0,1,31,1,1
709,Other,CAD,9,Weekday,Discover,Credit,0,0,63,8,0
3785,UK,CAD,15,Weekday,Amex,Credit,0,0,61,12,0
3189,UK,USD,17,Weekday,Visa,Credit,1,0,70,10,0
6128,Other,AUD,0,Weekday,MasterCard,Credit,1,1,35,12,1
439,CA,USD,13,Weekend,Visa,Credit,0,0,34,10,0
2815,CA,CAD,8,Weekday,MasterCard,Debit,0,0,38,2,0
1711,AU,USD,8,Weekend,Visa,Debit,1,0,36,1,0
1279,Other,AUD,15,Weekend,MasterCard,Debit,1,0,66,8,0
6434,US,USD,1,Weekend,MasterCard,Credit,1,1,57,9,1
3642,US,CAD,19,Weekend,MasterCard,Debit,0,0,70,7,0
158,AU,USD,18,Weekday,Visa,Debit,1,0,51,9,0
7147,AU,USD,0,Weekend,Visa,Credit,1,1,36,12,1
3285,AU,CAD,17,Weekday,Discover,Credit,1,0,66,10,0
9099,UK,CAD,23,Weekend,Amex,Credit,1,1,21,12,1
7405,CA,AUD,23,Weekday,Discover,Credit,1,1,28,3,1
3191,CA,CAD,14,Weekday,Amex,Credit,1,0,45,0,0
3292,US,AUD,11,Weekend,Amex,Credit,0,0,21,5,0
3353,AU,CAD,16,Weekend,MasterCard,Credit,0,0,70,7,0
7146,Other,AUD,23,Weekend,Discover,Debit,1,1,52,10,1
3936,AU,CAD,16,Weekday,Visa,Debit,0,0,56,11,0
369,AU,CAD,16,Weekday,Discover,Debit,0,0,61,10,0
802,CA,USD,11,Weekend,Amex,Debit,1,0,23,6,0
3590,AU,GBP,14,Weekend,MasterCard,Debit,1,0,20,3,0
281,US,USD,13,Weekend,MasterCard,Credit,1,0,52,0,0
5135,CA,CAD,23,Weekend,Discover,Credit,1,1,24,7,1
3387,AU,USD,19,Weekend,Discover,Debit,1,0,48,8,0
7003,AU,CAD,23,Weekend,Discover,Credit,1,1,37,4,1
195,AU,GBP,15,Weekday,MasterCard,Debit,0,0,58,11,0
253,Other,AUD,16,Weekend,Discover,Debit,1,0,65,7,0
611,CA,USD,10,Weekend,Amex,Credit,1,0,69,10,0
1636,Other,AUD,8,Weekend,Discover,Debit,1,0,22,8,0
9349,Other,CAD,1,Weekend,Discover,Debit,1,1,49,9,1
4031,AU,USD,8,Weekday,Discover,Credit,0,0,22,6,0
3176,UK,USD,16,Weekday,Amex,Debit,0,0,41,4,0
711,AU,GBP,19,Weekday,Discover,Credit,0,0,50,10,0
2309,AU,AUD,10,Weekday,MasterCard,Credit,0,0,37,11,0
8116,Other,GBP,0,Weekday,Amex,Debit,1,1,41,11,1
703,AU,USD,15,Weekend,Discover,Credit,0,0,45,9,0
983,US,CAD,8,Weekday,Amex,Debit,0,0,43,5,0
7830,UK,CAD,0,Weekday,Amex,Credit,1,1,22,10,1
7076,UK,CAD,23,Weekday,Amex,Debit,1,1,19,0,1
6270,Other,GBP,23,Weekend,Amex,Credit,1,1,70,7,1
8221,AU,USD,0,Weekend,Discover,Credit,1,1,42,11,1
6549,UK,USD,1,Weekend,MasterCard,Credit,1,1,63,9,1
663,AU,AUD,13,Weekday,MasterCard,Credit,1,0,60,2,0
8856,Other,CAD,0,Weekend,MasterCard,Credit,1,1,47,5,1
6800,CA,AUD,1,Weekday,MasterCard,Credit,1,1,49,8,1
1094,CA,AUD,14,Weekend,Visa,Debit,0,0,24,12,0
4494,AU,AUD,18,Weekend,Discover,Debit,1,0,48,1,0
9878,US,AUD,0,Weekday,Amex,Credit,1,1,22,8,1
2417,UK,AUD,19,Weekend,Amex,Credit,0,0,41,1,0
249,Other,CAD,11,Weekend,MasterCard,Debit,1,0,45,8,0
8709,Other,USD,1,Weekend,Discover,Credit,1,1,39,10,1
2644,AU,CAD,13,Weekday,Discover,Credit,1,0,26,11,0
1549,AU,GBP,12,Weekend,Amex,Credit,1,0,24,10,0
6688,CA,GBP,1,Weekend,Amex,Credit,1,1,40,11,1
6660,Other,CAD,1,Weekend,MasterCard,Debit,0,1,50,12,1
4337,UK,GBP,14,Weekday,Discover,Debit,0,0,60,3,0
1792,CA,USD,16,Weekend,MasterCard,Debit,1,0,24,4,0
4509,Other,GBP,16,Weekend,MasterCard,Debit,1,0,37,2,0
1755,UK,GBP,17,Weekday,Visa,Debit,0,0,43,2,0
5995,Other,USD,0,Weekday,Discover,Credit,1,1,70,8,1
9140,US,GBP,23,Weekend,Discover,Debit,1,1,38,1,1
9209,CA,USD,1,Weekend,Visa,Credit,1,1,65,4,1
1502,AU,AUD,14,Weekend,Discover,Credit,1,0,56,6,0
7111,US,CAD,23,Weekend,Amex,Debit,1,1,23,9,1
2898,UK,GBP,15,Weekend,Discover,Credit,1,0,43,8,0
6677,CA,GBP,23,Weekend,Visa,Debit,1,1,56,7,1
1628,US,CAD,11,Weekend,Discover,Debit,1,0,53,8,0
9189,Other,CAD,23,Weekday,Discover,Credit,1,1,26,7,1
9185,Other,AUD,1,Weekday,Discover,Credit,1,1,18,6,1
4424,UK,GBP,15,Weekday,Discover,Debit,1,0,65,8,0
5086,UK,CAD,0,Weekday,Amex,Debit,1,1,19,0,1
3476,AU,GBP,10,Weekend,Amex,Debit,1,0,40,7,0
4087,US,CAD,16,Weekday,Amex,Debit,1,0,23,7,0
3748,CA,AUD,11,Weekend,MasterCard,Credit,1,0,63,1,0
1499,Other,USD,19,Weekend,MasterCard,Credit,1,0,27,8,0
2937,CA,CAD,13,Weekday,MasterCard,Credit,1,0,25,10,0
8757,Other,USD,1,Weekday,Amex,Credit,1,1,69,11,1
8228,US,AUD,1,Weekend,Amex,Debit,1,1,67,6,1
7369,US,AUD,0,Weekend,Visa,Debit,1,1,52,12,1
2785,US,CAD,18,Weekday,MasterCard,Debit,0,0,63,9,0
7265,Other,AUD,0,Weekend,Discover,Credit,0,1,33,6,1
5614,UK,CAD,1,Weekend,MasterCard,Debit,1,1,65,5,1
7503,Other,AUD,23,Weekday,Discover,Credit,1,1,42,3,1
349,AU,CAD,11,Weekend,Amex,Debit,1,0,22,3,0
2671,US,USD,13,Weekend,MasterCard,Credit,1,0,69,2,0
9127,Other,GBP,23,Weekend,MasterCard,Credit,0,1,40,9,1
8686,Other,CAD,0,Weekend,Visa,Credit,1,1,64,12,1
6102,Other,CAD,1,Weekend,Amex,Debit,1,1,41,10,1
307,Other,GBP,17,Weekend,Visa,Credit,1,0,34,8,0
3805,Other,USD,15,Weekday,Visa,Credit,0,0,41,11,0
7475,Other,AUD,1,Weekend,MasterCard,Credit,0,1,51,0,1
6853,Other,AUD,1,Weekday,Discover,Credit,0,1,61,2,1
5138,Other,AUD,23,Weekend,MasterCard,Credit,1,1,46,0,1
4996,Other,USD,15,Weekend,Amex,Debit,1,0,31,1,0
1507,Other,USD,16,Weekend,MasterCard,Credit,1,0,70,11,0
5196,UK,USD,0,Weekday,Amex,Debit,1,1,59,12,1
9307,Other,AUD,0,Weekday,Amex,Credit,1,1,70,5,1
6189,Other,GBP,1,Weekend,Amex,Credit,1,1,45,4,1
1458,US,CAD,18,Weekday,Visa,Credit,0,0,43,7,0
521,UK,GBP,9,Weekday,MasterCard,Credit,1,0,61,1,0
9383,Other,CAD,23,Weekday,Amex,Credit,1,1,27,0,1
9162,Other,CAD,23,Weekend,Amex,Credit,1,1,27,5,1
4730,US,AUD,17,Weekend,MasterCard,Debit,0,0,19,12,0
3125,CA,GBP,15,Weekday,MasterCard,Credit,1,0,21,0,0
